id,timestamp_utc,session_id,mmsi,latitude,longitude,speed_knots,course_deg,heading_deg,nav_status,message_type,ship_type_code,ship_name,ship_category,hour
11437,2026-06-08 20:52:21.951842+00:00,20260608_195523,319105300,36.66371,27.918713333333336,10.6,164.3,161.0,0,PositionReport,37.0,MY ESCAPE,Pleasure Craft,20
11440,2026-06-08 20:52:22.737937+00:00,20260608_195523,241216000,36.62726666666666,27.837366666666664,0.0,259.0,127.0,0,PositionReport,89.0,NAOUSSA,Tanker,20
11442,2026-06-08 20:52:23.288902+00:00,20260608_195523,538072206,36.76920666666667,28.127536666666668,0.0,360.0,218.0,0,PositionReport,,,Unknown,20
11443,2026-06-08 20:52:23.289126+00:00,20260608_195523,636015607,36.36719833333333,26.93638,13.3,133.9,132.0,0,PositionReport,,,Unknown,20
11460,2026-06-08 20:52:28.823757+00:00,20260608_195523,319160400,36.59949166666667,27.94030833333333,7.6,170.8,167.0,0,PositionReport,37.0,NEXUS,Pleasure Craft,20
11468,2026-06-08 20:52:29.768959+00:00,20260608_195523,271044486,36.81819333333333,28.312003333333333,0.0,130.7,9.0,1,PositionReport,37.0,LA PASSION,Pleasure Craft,20
11469,2026-06-08 20:52:29.783678+00:00,20260608_195523,271052890,36.56392833333334,26.814331666666664,13.5,163.5,162.0,0,PositionReport,70.0,MED BEYKOZ,Cargo,20
11480,2026-06-08 20:52:33.196324+00:00,20260608_195523,325152200,37.014925,27.45041833333333,0.0,157.7,262.0,5,PositionReport,37.0,PACIFIC PEARL,Pleasure Craft,20
11483,2026-06-08 20:52:33.901557+00:00,20260608_195523,271043459,36.82672,28.56259333333333,0.0,91.0,511.0,15,PositionReport,0.0,ADMIRAL,Unknown,20
11489,2026-06-08 20:52:35.718460+00:00,20260608_195523,538011838,36.64735833333334,27.136045000000003,0.0,256.0,329.0,1,PositionReport,70.0,IRIS I,Cargo,20
11510,2026-06-08 20:52:40.467047+00:00,20260608_195523,241886000,36.44712666666667,28.231456666666663,0.2,168.7,35.0,3,PositionReport,52.0,CAPTAIN DIMITRIS V,Tug,20
11517,2026-06-08 20:52:42.391986+00:00,20260608_195523,241953000,36.40790333333334,28.246896666666665,0.0,242.9,333.0,1,PositionReport,89.0,SEAVEN CREST,Tanker,20
11521,2026-06-08 20:52:43.231765+00:00,20260608_195523,273333500,36.502696666666665,28.258035,7.6,284.8,285.0,0,PositionReport,70.0,KAPITAN VORONKOV,Cargo,20
11532,2026-06-08 20:52:45.226468+00:00,20260608_195523,271044329,36.53848,27.69287166666667,8.1,112.6,111.0,0,PositionReport,70.0,KILIC,Cargo,20
11544,2026-06-08 20:52:49.013821+00:00,20260608_195523,636024915,36.260095,27.28547,11.9,318.8,318.0,0,PositionReport,70.0,ATLANTIC B,Cargo,20
11546,2026-06-08 20:52:50.280505+00:00,20260608_195523,249010000,36.48251333333334,27.97649833333333,13.0,243.8,243.0,0,PositionReport,60.0,AROYA,Passenger,20
11551,2026-06-08 20:52:53.178770+00:00,20260608_195523,373178000,36.96152666666667,26.69857333333333,15.1,157.9,159.0,0,PositionReport,,,Unknown,20
11555,2026-06-08 20:52:53.947287+00:00,20260608_195523,538072107,36.82239166666667,28.312621666666665,0.0,19.9,323.0,5,PositionReport,37.0,TURK'S,Pleasure Craft,20
11562,2026-06-08 20:52:55.490107+00:00,20260608_195523,538072206,36.76923666666666,28.12755333333333,0.0,360.0,218.0,0,PositionReport,,,Unknown,20
11566,2026-06-08 20:52:56.922174+00:00,20260608_195523,271002446,37.02464166666667,27.43831833333333,0.2,4.6,511.0,8,PositionReport,60.0,AKCAKOCA,Passenger,20
11575,2026-06-08 20:52:59.537134+00:00,20260608_195523,273363000,36.974981666666665,27.175281666666667,7.2,307.3,310.0,0,PositionReport,,,Unknown,20
11595,2026-06-08 20:53:06.544527+00:00,20260608_195523,256901000,36.47522166666667,26.76382333333333,12.4,132.2,131.0,0,PositionReport,,,Unknown,20
11596,2026-06-08 20:53:06.872639+00:00,20260608_195523,341608002,36.32246666666666,28.74793333333333,11.0,106.5,113.0,0,PositionReport,70.0,BON,Cargo,20
11621,2026-06-08 20:53:13.673071+00:00,20260608_195523,271046339,37.03252,27.428045,0.1,360.0,309.0,0,PositionReport,37.0,QUEEN OF SALMAKIS,Pleasure Craft,20
11638,2026-06-08 20:53:19.140866+00:00,20260608_195523,667002547,36.44563333333333,28.231943333333334,0.0,143.0,170.0,15,PositionReport,60.0,SEA STAR DIAGORAS,Passenger,20
11647,2026-06-08 20:53:21.997522+00:00,20260608_195523,319105300,36.66085833333333,27.91974,10.7,163.6,160.0,0,PositionReport,37.0,MY ESCAPE,Pleasure Craft,20
11654,2026-06-08 20:53:23.290117+00:00,20260608_195523,538072206,36.76922,28.127546666666667,0.0,360.0,218.0,0,PositionReport,,,Unknown,20
11661,2026-06-08 20:53:25.165987+00:00,20260608_195523,271051573,36.72748666666666,27.69501166666667,0.0,360.0,511.0,8,PositionReport,37.0,WHITE ISLAND,Pleasure Craft,20
11663,2026-06-08 20:53:25.527816+00:00,20260608_195523,319160400,36.59750833333333,27.94075,7.5,166.6,158.0,0,PositionReport,37.0,NEXUS,Pleasure Craft,20
11675,2026-06-08 20:53:28.132188+00:00,20260608_195523,240563500,36.61420833333333,27.13931333333333,0.0,318.9,66.0,0,PositionReport,60.0,OLYMPIOS ERMIS,Passenger,20
11685,2026-06-08 20:53:29.831337+00:00,20260608_195523,271052890,36.56028166666667,26.815645,13.5,164.6,162.0,0,PositionReport,70.0,MED BEYKOZ,Cargo,20
11692,2026-06-08 20:53:31.945813+00:00,20260608_195523,241886000,36.44757833333333,28.231435,3.1,354.6,357.0,3,PositionReport,52.0,CAPTAIN DIMITRIS V,Tug,20
11694,2026-06-08 20:53:33.083857+00:00,20260608_195523,241216000,36.62725,27.83738333333333,0.0,312.0,126.0,0,PositionReport,89.0,NAOUSSA,Tanker,20
11697,2026-06-08 20:53:33.938696+00:00,20260608_195523,271043459,36.82669166666667,28.562606666666667,0.0,69.5,511.0,15,PositionReport,0.0,ADMIRAL,Unknown,20
11702,2026-06-08 20:53:34.807017+00:00,20260608_195523,477238600,36.31413333333333,27.050923333333333,13.6,311.4,314.0,0,PositionReport,79.0,SEAPOWER I,Cargo,20
